序号,场馆ID,地区,场馆名称,地址,纬度,经度,距上海中心(m)
107,95,杨浦区,复旦大学博物馆,邯郸路220号邯郸校区100号、200号楼,31.296702,121.499458,7768
108,151,市级馆,上海油画雕塑院美术馆,长宁区金珠路111号,31.198717,121.400178,7829
109,105,宝山区,上海市陶行知纪念馆,武威东路76号,31.276573,121.409535,7973
110,187,杨浦区,鸿美术馆,杨浦区黄兴路1818号11楼,31.292076,121.520063,8152
111,180,长宁区,上海苏俄造型艺术馆,长宁区天山路356号,31.214981,121.388503,8281
112,82,普陀区,上海泰迪之家泰迪熊博物馆,泸定路46弄3号楼,31.221486,121.387227,8282
113,178,徐汇区,上海徐汇区九点水美术馆,徐汇区桂林路406号,31.172683,121.414764,8521
114,99,杨浦区,中国近现代新闻出版博物馆,周家嘴路3678号,31.278462,121.543638,8530
115,179,长宁区,上海虹桥当代艺术馆,长宁区仙霞路650号,31.205929,121.38776,8613
116,97,杨浦区,上海院士风采馆,国顺东路369号,31.294429,121.527944,8791
117,184,普陀区,刘海粟美术馆分馆,普陀区铜川路1869号,31.252933,121.384909,8805
118,98,杨浦区,上海财经大学商学博物馆,国定路777号,31.305892,121.501987,8814
119,101,杨浦区,上海理工大学印刷博物馆,水丰路100号,31.283149,121.543783,8876
120,80,普陀区,苏州河工业文明展示馆,光复西路2690号,31.22063,121.379383,9034
121,60,徐汇区,上海师范大学博物馆,桂林路81号,31.160843,121.421603,9186
122,115,闵行区,上海翰林匾额博物馆,虹许路731号8号楼1楼,31.190805,121.388536,9219
123,63,徐汇区,上海无线电博物馆,田林路200号A5一楼,31.169957,121.406976,9244
124,181,长宁区,上海海派书画艺术馆,长宁区北渔路95号,31.216522,121.372359,9759
125,163,浦东新区,上海浦东新区越婷惠美术馆,浦东新区陈春路109号,31.173189,121.554559,9981
126,94,杨浦区,上海体育大学武术博物馆,长海路399号上海体育大学内,31.31218,121.525432,10338
127,108,宝山区,上海尊木汇木文化博物馆,沪太路2751号,31.311834,121.411548,10811
128,155,浦东新区,金桥碧云美术馆,浦东新区红枫路135号,31.244765,121.588974,11075
